,B. Créer des sites web intéractifs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B2 : Jean-Maris Clery,Gagner en productivité avec jQuery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Objectifs du module,Compétences,Codename,"Nom du module
",Présentiel,Autonomie,Classe virtuelle,Dispositif tutoral,Activités,Titre des ressources et description,Type de ressources,Disponibilités des ressources,"Ressources (liens, sites…)",Ressources video,Ressources complémentaires,"Date de validation des road map
VR > FB > VR","Temps de rédaction des textes et production des images, illustrations…","Temps de rédaction des questions, des feed back… ","Temps de rédaction de l’énoncé du cas + grille d’évaluation, critères, type d’évaluation (présenté, rendu…), par qui…","Temps de rédaction de l’énoncé du cas + grille d’évaluation, critères, type d’évaluation (présenté, rendu…), par qui…
Consignes au au fur et à mesure
","Relecture 1
VR >FB",Retour des correction des formateurs,Date de validation des contenus rédigés,"Temps de extraction des textes sons (10 mn), 
> Enregistrement de la voix (30 mn)
",Date d'enregistement par lot (prévoir des journées entières),"Temps de production dans l’outil auteur:
> Animation des slides,  
> Synchronisation voix texte
> Créeaion des évaluation formatives
","Date de production dans outil auteur (aide de FB, puis Kelly ou formateurs)","Relecture 2
par FB, puis corrections par Kelly","Date de validation 2
VR",,"Temps d'intégration, test dans la plateforme",Date d'intégration plateforme,Temps de travail estimé de l’apprenant ,Auteur,Validation,Rédaction Formateur,Relecture,Correction formateur,Validation Rédaction,Production dans outil auteur,"Validation Production 
"
,,,01-contextualiser-l-utilisation-de-jquery-et-retracer-l-historiquejquery-langage-librairie-ou-framework.md,"Contextualiser l'utilisation de jQuery, et retracer l'historique",X,,,,,"jQuery : Langage, librairie ou framework ?",Document,A faire,https://stackoverflow.com/questions/7062775/is-jquery-a-javascript-library-or-framework,https://www.lynda.com/fr/jQuery-tutoriels/Presentation-jQuery/193138/342959-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,02-contextualiser-l-utilisation-de-jquery-et-retracer-l-historiquejquery-aujourd-hui-quelle-utilisation.md,"Contextualiser l'utilisation de jQuery, et retracer l'historique.",X,,,,,jQuery aujourd'hui : quelle utilisation ?,Document,A faire,http://www.mathieurobin.com/2014/09/il-est-temps-davoir-deja-quitte-jquery/,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,03-contextualiser-l-utilisation-de-jquery-et-retracer-l-historiqueinstaller-jquery-sur-une-page-web.md,"Contextualiser l'utilisation de jQuery, et retracer l'historique.",X,,,,,Installer jQuery sur une page web,Vidéo (screencast),A faire,"https://www.w3schools.com/jquery/jquery_get_started.asp

https://www.digitalocean.com/community/tutorials/an-introduction-to-jquery

https://www.youtube.com/watch?v=YbkIbT1bcUI
","https://www.lynda.com/fr/jQuery-tutoriels/Mise-place-installation-jQuery/193138/342962-4.html

https://www.lynda.com/fr/jQuery-tutoriels/Chargement-DOM/193138/342968-4.html",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,04-contextualiser-l-utilisation-de-jquery-et-retracer-l-historiqueverifier-la-presence-de-jquery.md,"Contextualiser l'utilisation de jQuery, et retracer l'historique.",X,,,,,Verifier la présence de jquery,TD,A faire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,05-contextualiser-l-utilisation-de-jquery-et-retracer-l-historiqueles-differentes-versions-de-jquery.md,"Contextualiser l'utilisation de jQuery, et retracer l'historique",,X,,,,Les différentes versions de jQuery,Document,A faire,"https://jquery.org/history/

http://developer.telerik.com/featured/whats-new-in-jquery-3/
",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,06-contextualiser-l-utilisation-de-jquery-et-retracer-l-historiqueretour-vers-le-passe-la-dominance-d-ie6.md,"Contextualiser l'utilisation de jQuery, et retracer l'historique.",,X,,,,"Retour vers le passé, la dominance d'IE6",Document,A faire,"https://framablog.org/2009/02/20/stop-internet-explorer-6/

http://www.pompage.net/traduction/envoyons-paitre-les-mauvais",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,07-contextualiser-l-utilisation-de-jquery-et-retracer-l-historiquejquery-et-ses-concurrents-a-la-rescousse.md,"Contextualiser l'utilisation de jQuery, et retracer l'historique.",,X,,,,jQuery et ses concurrents à la rescousse,Document,A faire,"https://openclassrooms.com/courses/un-site-web-dynamique-avec-jquery/d-autres-frameworks-javascript-1

https://www.developpez.com/actu/46700/jQuery-est-utilise-par-un-site-sur-deux-le-Framework-JavaScript-a-enregistre-la-croissance-la-plus-rapide-dans-les-technologies-du-Web-en-2011/

https://www.sitepoint.com/top-5-jquery-ui-alternatives/

http://youmightnotneedjquery.com/

http://vanilla-js.com/",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,08-contextualiser-l-utilisation-de-jquery-et-retracer-l-historiqueculture-web-javascript-jquery.md,"Contextualiser l'utilisation de jQuery, et retracer l'historique.",,X,,,,Culture web / javascript / jQuery,QCM,A faire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,09-manipuler-les-selecteursdefinition-et-ecriture-d-un-selecteur-jquery.md,Manipuler les sélecteurs,X,,,,,Définition et écriture d'un sélecteur jQuery,Vidéo (screencast),A faire,"https://api.jquery.com/category/selectors/

https://openclassrooms.com/courses/simplifiez-vos-developpements-javascript-avec-jquery/plus-loin-dans-la-selection-d-elements

https://openclassrooms.com/courses/jquery-dynamisez-vos-pages-plus-simplement/les-selecteurs-2

https://www.w3schools.com/jquery/jquery_ref_selectors.asp

https://learn.jquery.com/performance/optimize-selectors/","https://www.lynda.com/fr/jQuery-tutoriels/selecteurs-peuvent-etre-affines/193138/342971-4.html

https://www.lynda.com/fr/jQuery-tutoriels/selecteurs-jQuery/193138/342974-4.html

https://www.lynda.com/fr/jQuery-tutoriels/contextes-selection-jQuery/193138/342979-4.html",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10-manipuler-les-selecteursappliquer-des-fonctions-simples-sur-des-elements.md,Manipuler les sélecteurs,X,,,,,Appliquer des fonctions simples sur des éléments,Vidéo (screencast),A faire,https://www.w3schools.com/jquery/jquery_examples.asp,https://www.lynda.com/fr/jQuery-tutoriels/chainage-jQuery/193138/342985-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11-manipuler-les-selecteursstocker-un-selecteur-dans-une-variable.md,Manipuler les sélecteurs,X,,,,,Stocker un sélecteur dans une variable,Document,A faire,"https://forum.jquery.com/topic/syntax-for-variable-as-selector

https://stackoverflow.com/questions/5891840/how-to-use-javascript-variables-in-jquery-selectors",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12-manipuler-les-selecteursselectionner-des-elements-et-changer-leur-css-avec-jquery.md,Manipuler les sélecteurs,,,,,,Sélectionner des élements et changer leur CSS avec jQuery,EXERCICE,A faire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13-manipuler-les-selecteursdocumentation-de-jquery.md,Manipuler les sélecteurs,,X,,,,Documentation de jQuery,Document,A faire,"https://api.jquery.com/

http://jqapi.com/

http://www.jquery-fr.com/forum/

https://openclassrooms.com/courses/un-site-web-dynamique-avec-jquery/la-documentation-de-jquery
",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14-se-documenter-installer-et-configurer-correctement-un-plugin-jquerydefinition-d-un-plugin-jquery.md,"Se documenter, installer et configurer correctement un plugin jQuery",,X,X,,,Définition d'un plugin jQuery,Document,A faire,"https://learn.jquery.com/plugins/

https://www.tutorialspoint.com/jquery/jquery-plugins.htm
",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15-se-documenter-installer-et-configurer-correctement-un-plugin-jquerychoisir-correctement-son-plugin-jquery-parmi-tous-ceux-existants.md,"Se documenter, installer et configurer correctement un plugin jQuery",,X,X,,,Choisir correctement son plugin jQuery parmi tous ceux existants,Document,A faire,"https://www.npmjs.com/browse/keyword/jquery-pluginhttps://plugins.jquery.com/

https://github.com/petk/awesome-jquery
",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16-se-documenter-installer-et-configurer-correctement-un-plugin-jqueryinstaller-un-slider-anime-avec-bxslider.md,"Se documenter, installer et configurer correctement un plugin jQuery",,X,X,,,"Installer un slider animé avec ""bxSlider""",Document,A faire,http://bxslider.com/,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17-se-documenter-installer-et-configurer-correctement-un-plugin-jqueryinstaller-une-galerie-d-images-avec-lightbox.md,"Se documenter, installer et configurer correctement un plugin jQuery",,X,X,,,"Installer une galerie d'images avec ""lightbox""",Document,A faire,"https://plugins.jquery.com/tag/lightbox/

http://lokeshdhakar.com/projects/lightbox2/#getting-started

http://fancybox.net/howto
",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18-se-documenter-installer-et-configurer-correctement-un-plugin-jqueryinstaller-et-parametrer-un-plugin-de-slider.md,"Se documenter, installer et configurer correctement un plugin jQuery",,X,X,,,Installer et paramètrer un plugin de slider,EXERCICE,A faire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19-manipuler-le-dom-avec-jqueryrecuperer-et-modifier-le-contenu-de-balises-html-text-et-html.md,Manipuler le DOM avec jQuery,,X,,X,,Récupérer et modifier le contenu de balises HTML : text() et html(),Vidéo (screencast),A faire,"http://api.jquery.com/text/

http://api.jquery.com/html/","https://www.lynda.com/fr/jQuery-tutoriels/text-val/193138/343004-4.html

https://www.lynda.com/fr/jQuery-tutoriels/html/193138/343007-4.html",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20-manipuler-le-dom-avec-jquerygerer-les-attributs-de-balises-html-attr-prop-removeattr-et-removeprop.md,Manipuler le DOM avec jQuery,,X,,X,,"Gérer les attributs de balises HTML : attr() , prop() , removeAttr() et removeProp()",Vidéo (screencast),A faire,"http://api.jquery.com/attr/

http://api.jquery.com/prop/

https://stackoverflow.com/questions/5874652/prop-vs-attr
",https://www.lynda.com/fr/jQuery-tutoriels/Attributs-proprietes/193138/343014-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
